file,z0,method,w_min,w_max,mse,mae,avg_window_size,n_deviations,n_steps
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,5,10,2.955701011626786,1.2524225984685902,9.72549019607843,45.0,51.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,5,10,2.0415305861770685,1.04339684937241,9.72549019607843,51.0,51.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,5,12,2.8178733926344366,1.2967144684142442,11.714285714285714,37.0,42.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,5,12,2.389096262172227,1.1964656504937614,11.714285714285714,42.0,42.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,ols,5,15,4.758992723806673,1.5806831664431988,14.5,27.0,34.0
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,diff_ols,5,15,3.2862329377113233,1.3720487245905064,14.5,34.0,34.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,3,8,66.47286243166174,6.294260180926155,7.630769230769231,54.0,65.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,3,8,90.55185172225539,5.287141475917592,7.630769230769231,63.0,65.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,3,10,61.333193842369205,5.780447113454501,9.377358490566039,41.0,53.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,3,10,47.338409461510714,5.075122217914439,9.377358490566039,52.0,53.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,3,12,80.77028649682501,7.00423401210991,10.826086956521738,41.0,46.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,3,12,67.31547205874378,5.96590525990063,10.826086956521738,45.0,46.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,3,15,112.9866985637581,7.2533264841661245,13.105263157894736,27.0,38.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,3,15,261.29033725218125,8.655854867055918,13.105263157894736,37.0,38.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,4,8,49.57540556945852,5.159463791777493,7.765625,52.0,64.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,4,8,41.60554393984828,4.78436627226251,7.765625,64.0,64.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,4,10,69.28861615289257,6.205617689993045,9.557692307692308,42.0,52.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,4,10,39.135603949293134,4.6305249690952675,9.557692307692308,51.0,52.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,4,12,99.26003608246408,7.21242164870566,11.25,40.0,44.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,4,12,59.96697771465201,5.7719837919502455,11.25,44.0,44.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,4,15,100.34226738551439,7.00015360548644,13.432432432432432,30.0,37.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,4,15,83.76202847229547,6.844238957026791,13.432432432432432,36.0,37.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,5,8,49.50225097010235,5.1471145625445605,7.873015873015873,51.0,63.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,5,8,41.669406215903884,4.792768343302355,7.873015873015873,63.0,63.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,5,10,69.51145383774511,6.245635076446225,9.72549019607843,41.0,51.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,5,10,39.787961287825155,4.689919317526171,9.72549019607843,50.0,51.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,5,12,98.48877438549746,7.104603756495781,11.511627906976743,33.0,43.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,5,12,58.93388529620945,5.7592672897156065,11.511627906976743,42.0,43.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,ols,5,15,104.8898765088213,6.922711637926574,13.777777777777779,23.0,36.0
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,diff_ols,5,15,285.65378712127574,8.82723953083271,13.777777777777779,36.0,36.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,3,8,16.232605340693897,2.880146139224403,7.873015873015873,52.0,63.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,3,8,11.720540703013208,2.5121835105764494,7.873015873015873,63.0,63.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,3,10,27.087017407947815,3.9429118498071345,9.764705882352942,45.0,51.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,3,10,14.417061641389697,2.9920833148805346,9.764705882352942,51.0,51.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,3,12,27.127145374617687,3.8828872267095047,11.581395348837209,35.0,43.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,3,12,14.939580783527168,2.8693922799023297,11.581395348837209,42.0,43.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,3,15,29.303000087907787,4.065824580441419,14.228571428571428,29.0,35.0
