file,z0,method,w_min,w_max,mse,rmse,mae,mape,direction_accuracy,avg_changepoint_prob,avg_window_size,n_steps
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,3,15,89.24156947054185,9.446775612373877,6.349365647904727,7.004052394634876,54.400000000000006,0.020460975308610845,14.228571428571428,35.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,4,8,37.21983327371041,6.100805952799221,4.5526107737079125,4.895336387198049,53.6,0.020460975308610845,7.888888888888889,63.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,4,10,41.0457966942403,6.406699360375848,4.515819709576985,5.038496598992646,54.400000000000006,0.020460975308610845,9.745098039215685,51.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,4,12,34.36540912305604,5.862201729986443,4.49739070227537,4.770420816335197,51.2,0.020460975308610845,11.55813953488372,43.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,4,15,64.29889895718658,8.018659423942793,5.625663528876609,5.950908749042087,56.599999999999994,0.020460975308610845,14.2,35.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,5,8,32.40176873485387,5.692255153702605,4.2047864448188665,4.394313236268227,56.599999999999994,0.020460975308610845,7.873015873015873,63.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,5,10,36.59151939225828,6.049092443685935,4.504594065809085,4.621050962526336,54.233870967741936,0.020460975308610845,9.84,50.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,5,12,47.28759038254241,6.876597296813476,4.994853597354477,5.483904291293064,53.72233400402414,0.020460975308610845,11.738095238095237,42.0
initial_value_5_samples_500_a_0.4_b_130.csv,5,ols,5,15,48.65937819833704,6.975627441193877,5.114176744929046,5.223442104081879,52.41935483870967,0.020460975308610845,14.470588235294118,34.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,3,8,93.08987224529713,9.648309294653501,6.895150558237926,6.597703237124014,52.0,0.019403804173189692,7.78125,64.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,3,10,111.60297050643838,10.564230710583633,7.835005654367426,7.762814029781053,51.4,0.019403804173189692,9.576923076923077,52.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,3,12,157.2957897188549,12.541761826747265,9.230132911084267,8.787776540370619,48.6,0.019403804173189692,11.318181818181818,44.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,3,15,136.05022067013263,11.664056784418216,8.57254002242364,8.209445387151165,52.2,0.019403804173189692,13.833333333333334,36.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,4,8,106.16242916852403,10.303515379156961,7.714802811027933,7.682847367113241,48.0,0.019403804173189692,7.888888888888889,63.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,4,10,99.13527869083433,9.956670060358249,7.71403163225375,7.357552867393919,49.6,0.019403804173189692,9.745098039215685,51.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,4,12,125.31455231810044,11.194398256186012,7.996751462336188,7.574560326770974,52.2,0.019403804173189692,11.55813953488372,43.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,4,15,188.00362038747375,13.711441222113514,10.591914843630947,10.033870297004372,46.400000000000006,0.019403804173189692,14.2,35.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,5,8,107.87902208102454,10.386482661662924,7.352674061180376,6.916540664951684,50.4,0.019403804173189692,7.873015873015873,63.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,5,10,148.13969566992392,12.171265163076677,8.18927277232213,8.306188845411496,48.08853118712273,0.019403804173189692,9.86,50.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,5,12,166.94794756863672,12.920833857326574,9.86200504220941,9.446574098894825,46.2,0.019403804173189692,11.534883720930232,43.0
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,5,15,134.8011984174411,11.610391828764485,8.435934244935673,8.95761051979837,49.4,0.019403804173189692,14.17142857142857,35.0
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,3,8,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,3,10,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,3,12,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,3,15,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,4,8,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,4,10,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,4,12,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,4,15,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,5,8,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,5,10,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,5,12,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,5,15,,,,,,,,
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,3,8,209.13077533190992,14.461354546926437,10.984191875736398,11.091684082804385,51.2,0.01601318843032143,7.78125,64.0
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,3,10,282.8320271851639,16.817610626517784,12.864853558328951,13.005275045705098,50.80321285140562,0.01601318843032143,9.538461538461538,52.0
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,3,12,314.10644139331873,17.72304830985118,13.228655090673914,12.896377604224119,51.4,0.01601318843032143,11.066666666666666,45.0
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,3,15,315.00519260428877,17.74838563374959,12.945480424897331,13.821430136519638,50.8,0.01601318843032143,13.45945945945946,37.0
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,4,8,202.39577410055475,14.226586874600484,10.34414344875448,10.091371147064384,52.705410821643284,0.01601318843032143,7.873015873015873,63.0
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,4,10,187.00532347774612,13.67498897541589,10.268437600568426,10.685296106404655,52.400000000000006,0.01601318843032143,9.557692307692308,52.0
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,4,12,271.98288958715705,16.491903758728313,12.312389036574709,13.262061748658358,53.400000000000006,0.01601318843032143,11.295454545454545,44.0
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,4,15,371.00843196852,19.261579166011284,13.890216280725125,13.653753681480064,53.0,0.01601318843032143,13.432432432432432,37.0
