file,z0,method,window_size,mse,mae,rmse,direction_accuracy,type
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,3,31.281016481479387,4.14196871132018,5.592943454164309,51.800000000000004,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,4,43.77903257540452,4.904218047203779,6.616572570100363,54.50901803607214,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,5,57.30582518204677,5.480627658141377,7.570061108210869,53.707414829659314,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,8,108.24391006021277,7.3646951569165156,10.404033355396972,50.101010101010104,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,10,143.54886559484072,8.46953493029074,11.9811879876263,50.70140280561122,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,12,178.32977184011813,9.429767559510553,13.354017067538821,49.287169042769854,fixed
initial_value_5_samples_500_a_0.5_b_120.csv,5,ols,15,166.14018846122644,9.562954757647628,12.889537945994281,49.797570850202426,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,3,781.7372067822824,20.348786811154053,27.95956378025742,54.065934065934066,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,4,1030.448993042839,22.18109670622564,32.10060736252258,48.57142857142857,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,5,1709.9426233984238,28.74034840115811,41.351452494421814,47.136563876651984,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,8,2144.9116239762593,33.436976403228904,46.3131906045811,49.01098901098901,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,10,2377.8142816105346,37.065923637457445,48.762837095584736,49.45533769063181,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,12,2825.0431310905506,38.80681960674306,53.15113480529414,50.10989010989011,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,ols,15,5909.240294084981,50.8691703919492,76.87158313762623,48.706896551724135,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,3,77.51779740323015,6.8473166393210985,8.804419197382082,48.6,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,4,102.69066176276432,7.78841849237715,10.13364010426482,49.899799599198396,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,5,129.98666902504553,8.381082341504394,11.40116963407902,48.49699398797595,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,8,162.98585998093876,9.89270777226506,12.766591556908946,53.333333333333336,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,10,290.9587701993223,13.00487188502706,17.057513599564338,52.30460921843687,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,12,246.3727365279559,11.755629230686772,15.696265050258164,50.91649694501018,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,ols,15,360.2618600117811,13.55672089339932,18.980565323819548,51.61943319838057,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,3,263.84662099076985,11.850563061919487,16.243356210794918,47.0,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,4,336.4605735493147,13.401739526391093,18.342861651043293,49.498997995991985,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,5,390.7272870722741,14.145885423086758,19.766822887663917,51.503006012024045,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,8,343.12362988448416,14.541565816675526,18.523596569901972,53.939393939393945,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,10,588.0773239785411,17.936572513389233,24.250305647115898,53.90781563126252,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,12,688.7926707220258,20.16817299229673,26.244859891453522,54.378818737270876,fixed
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,ols,15,963.560175925645,24.11726027330815,31.04126569464662,50.20242914979757,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,3,18.635887699229862,3.261574873805882,4.316930356078247,50.6,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,4,22.338484474333075,3.4589673140775403,4.726360595038542,53.90781563126252,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,5,31.779950975576106,4.093854607019615,5.637370927620082,50.1002004008016,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,8,48.57217209708146,5.144026507573171,6.969373866932485,50.70707070707071,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,10,66.43642284603219,5.734711911181811,8.150854117577628,48.897795591182366,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,12,88.16407499657917,6.485645535313746,9.3895726738004,46.02851323828921,fixed
initial_value_5_samples_500_a_0.6_b_100.csv,5,ols,15,80.99412100992839,6.634638347998888,8.999673383513892,50.40485829959515,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,ols,3,16.555728635967238,3.0645453841395454,4.068873140805356,50.6,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,ols,4,17.822105425128427,3.1216530054409803,4.2216235532231465,51.703406813627254,fixed
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,ols,5,22.56088427655051,3.531330463088678,4.7498299208024815,51.10220440881763,fixed
